Question	rel_label
What extends from 5.332 Ma	0
where was Boswell born	1
What is the term for a method	2
for what was Whipwreck substituted 	3
who threw for a career high 365 yards	4
What was Big Shanty first named 	5
what is Simian	6
Up to when did Coleman play the role  	7
of what were The Allies initially made up 	8
what is Oquawka	9
what  is interwoven with medium	10
What is geared toward a mature audience	11
where did Europeans also come to 	12
of what does The JR station consist 	13
What was opened in August 1909	14
What are offered at the Advanced Placement	15
where was Miranda traded to 	16
who remained in the APSL	17
when did Forbes die	18
Who was born near Lanark	19
when did United Overseas Bank  announce 	20
what is available for purchase	21
where did Palermo relegate to 	22
what is Persuasion	23
to what does DBZ Burst	24
of what is Robertson fan 	25
for what was Sapelo designated 	26
in where is Cheese making an important industry 	27
Who signed his first professional contract in 2008	28
of what  is Robin Gray now a director	29
Who spent three years in the Army	30
What is Etemad	31
what census-designated place is in Charlotte County	32
who moved to Philadelphia	33
who led a busy life in Geneva	34
How Paifang comes  	35
Who are elected to a four-year term	36
Where does Resistance continue	37
what have been taken to form Dennis Township	38
who are also against modernity	39
What did Nakayama join	40
by what was OpenGL Performe developed 	41
What was set up in Calcutta	42
Where is Deerfield Township	43
What  is the collection of alternate universes	44
From where are Georgian troops forced to withdraw	45
What is Eckington	46
Where is Homer located	47
where is Bienfait	48
what gave plenty of warning	49
where does Derek Reese first appear	50
Who lives in Richmond	51
what was kept for scrap	52
To whom did Kid Flash take a liking	53
What is an application of virtual memory	54
where is The Oklahoma Daily published	55
who works for Aoni Production	56
up to when did Urban serve	57
What is Britain	58
What was Navan	59
what is Ridgeway	60
what  is sometimes Dreadnought misspelled as	61
what does Jack have 	62
how long have Series been around	63
What is Summer Shade	64
What is The Australian Chamber Orchestra 	65
What was published in 1844	66
who is Herda now	67
What is located in Madison Heights	68
for whom was 2002 a banner year	69
who  discovered her passion for music	70
what have been used for hunting and warfare	71
What is The Beaver River 	72
where were Local governments  set up 	42
who moved to Sweden	33
to what university  is Glassboro home 	73
what  is widely distributed a bi-monthly magazine	74
what consists of requests	13
what was available for pre-order	21
who was born in Morton	1
What is also being introduced for internationalized domain names	75
What is within the Fort Bend Independent School District	76
Who headed to Australia	77
where is the birth place of solid chocolate	78
Who is a native of Munster	79
where The Bulldog spent some time 	80
who are welcomed by prior arrangement	81
who was even more critical of Muhammad	82
where is Bacton situated 	83
who resigned on principle	84
who goes to Turkey	85
what road is on St . Thomas	86
to what did A military weapon turn  	87
where is Orel	88
what will Iron yield	89
what team are a major junior ice hockey team in the Western Hockey League	90
who was born in Ardahan	1
What small town is in southwestern Saskatchewan	91
who returned to Hawaii	92
when were Talks resumed 	93
Where  are 232 directly elected 	94
of what is Carencro part	9
What was constructed near Dinny	95
Who lives in Boulder	51
who observes the Hanoi Hilton	96
Which university is home to 12 Fraternities and Sororities	73
Where is Skyline High School 	97
who was Damayo	98
Who earned a Bachelor of Arts degree	99
As what was John Cummings listed	100
What is headquartered in Burlington	101
what does Dresden Codak  cast	102
what do Pronouns not distinguish 	103
What officially opened in 1897	104
what is an alternative to String	105
what is Bad Kreuznach	106
what  has no place on wikipedia	107
how was Little later released  	108
What  is not a type of recruitment	109
Who became vice-president of NC.	110
to what did Shruti come	111
to whom do 3rd and 4th floor belong	112
When  were Pampers introduced  	113
how does Station operate now 	114
where is Rochester Township  located	68
where is JWH-018 banned 	115
what was amended in 1949	116
where is St . Mary Medical Center	117
who died in Sweeny	18
to whom was Bear Naked sold 	118
To what had Carrollton grown	119
what did Computer aid 	120
What is Mitchell County	121
who was born in Dover	1
Who wanted to pay money	122
What are somewhat similar to MARC	123
Who also ran for 43 yards	124
who is the President of the Board of Trustees	125
what does Tomkins comprise 	126
who played four seasons with the Wolverines	127
what is Broadway Bound	128
Where did Lafferty attend High School	129
who were able to rescue Rita	130
on whom once had Jenny a crush  	131
Who won by 2 wickets	132
which team had UCLA defeated 	133
who is fan of video games	25
What is Ewing	134
where did Harris attend high school 	129
To what was 4 RAR renamed 	135
who moved to Harlem	33
Where are not Minors allowed	136
on what is Bennett currently working	137
Who was Harold Wilson	138
Who was born in Circleville	1
What is A Multiverse 	44
who is a member of the Kuomintang	139
what is Roslyn	140
Who  retired to Co. Kildare	141
who was George Thompson	142
who was educated at Rugby	143
when did Francis make his major league debut	144
where did Schenck serve six months	145
what is the opposite of deletion	146
What was granted on 12 March 1874	147
where is Deer Creek Township  located 	68
What was made for local ministers	148
Who  were introduced in 1961	113
Where have 97 Rangers been killed	149
What makes extensive use of reflection	150
where has dance music thrived	151
where is River Hill High School	152
where was UFO sighted 	153
Where is Geyserville located	154
how are Three of the songs sung 	155
what was PA 222 designated as 	156
what does Desert Mountain offer to students	157
where are Company headquarters located	68
where is Sun Valley	140
Who was born in Beijing	1
Who is Clark Kent	158
of what descent is Lorgat  	159
who got a show on MSNBC	160
what are based out of Pierre	161
who was elected to the California State Assembly	36
where did Mariano propose	162
who arrives at the Bronze	163
what rights did Sky Sports  acquire	164
What opens the door to new business models	165
where was Stark born 	166
where did Wong make several appearances	167
where has White nationalism a long tradition	168
What is Jaworzno	134
who is a member of the United States Foreign Service	139
What may NASH be 	169
what was handled from 1 February 1860	170
where is Danvers  	171
In what is Oxaloacetate unstable 	172
who are not Roman Catholics	173
what is mostly used in Flamenco guitar	174
what country has a coastline of 37,653 km	175
where were Four bodies found	176
what does CRN focuse on	177
what is Kashima	178
What does not refer to heavy exercise	179
what was printed in 1455	180
what is Modern Hebrew	181
What is Logo	182
What took place across the UK.	183
to whom was Healy engaged 	184
for how long is Certification valid	185
Who is also a member of the Neuroscience Peer Review Consortium	186
of what was Rothmans an active promoter 	187
what were not undertaken for newer versions	188
how is English established 	189
where has Hoover also appeared 	190
What is not only found in humans	191
what is a branch of philosophy	192
where was a lock built at 	193
Where did Altenburg grow up	194
How are Links activated  	195
What is larger than N	196
Where is Kk 	197
What does Burlington Township cover	198
What church is dedicated to Saint Blaise	199
where is The Davis Cup final held 	200
Of what did Portugal lose possession  	201
What is Dawson	134
what does Cody enlist	202
What suffered an outbreak of bubonic plague	203
where was John Mackey  born 	1
who came first to Virginia	204
What do Major employers include	205
what are ABC	206
What show reached the top ten in Taiwan	207
where was Zoological Record started	208
where has Daniel also been recognized  	209
what does Wofford join	210
What is McKellar 	211
who grew up in Phoenixville	194
By what had Roosevelt always been fascinated 	212
what can Healers also induce 	213
what did The Union side do	214
to whom did control of the company  go	85
What may Sage help  	215
Who died after suffering a stroke	216
who dreams of bright future	217
What was established in 1912	218
where is Chillicothe	134
Who played college football at Central Michigan University	219
when was Counter-Strike also released 	220
who played for the New York Jets	221
what did Philbin host	222
For what was A beautiful Saturday afternoon the setting 	223
where Joe Louis lives on 	224
for what is Rawa the local term 	225
what has Altova recently added support for 	226
Who  initially studied at Hampton High School	227
What commune is in Arge County	6
what was released on 30 June , 2008	228
what does Mobile also have a large number of private schools	229
Where did Lacson studied law	230
Who was found guilty on May 21 , 2007	231
where is L'Artisan based	232
Who died in Auburn	18
With what are Blennies often confused 	233
Where is politically subdivided into 32 barangays	234
who first met there in 1790	235
Where does Gardner currently live	236
where S/he rests 	237
What does Joam boast  	238
what may firm do	239
who was released on parole	228
what  includes departments of Pharmacy	240
who has composed a number of longer works	241
since when have Reprints been printed 	242
What is San Pablo	243
where do Raikkonen lead	244
What are renowned for reliability	245
where does Darling currently live	236
what does US-400  join	246
What would be delivered in September 2006	247
what has Vivendi Games Mobile launched	248
what produces a diverse range of products	249
what  includes the Cooperative Extension Service	250
what is WP:AGF not	173
What is Brule	251
Where are Italian-Americans concentrated	252
who is Tony Blair	173
to whom is Porter Square also home 	253
what started appearing in season 1	254
what is a synonym for snake	255
who is PCI	256
Where did A large industry develop 	257
what was Dr. Troy appointed 	258
what  is the name of a country	259
against whom did Phil take against 	260
Where is Estancia	60
where was Constable born	1
who had an idea for a children 's album	261
who works for the Pullman Company	262
to when does Brambles trace its history	263
what was published in 1981	66
who  studied philosophy at the University of Leeds	264
what has always specialised in Australian art	265
what were set up throughout Japan	266
who remained important in Finland	267
when did Woodward die	18
on what did KID focuse  	177
who was the leader of Russia	268
Who died in a car accident	18
who moved to Kentucky	33
Where is Ohio Christian University	269
what is pisto	270
what is Lakeville	271
What will 2034 be	272
By whom was Game 7  dominated	273
who  is sponsored by Adidas	274
Who gets married to Sudha	275
what does Yuki Cross do 	276
What came to Dallas	111
who agree to terms	277
in what can Pica also be found	278
what did owners support	279
what does  The Universal Life Church offer	280
who went to Eglin Air Force Base	85
When was Georgetown incorporated  	281
When was Makemake discovered 	282
What is The Midwest	283
where was Reeder taken back to 	284
which departmrnt takes care of roadways	285
What year was a very busy year for Vega	286
How did The Wildcats  win  	287
on what are Modular buildings usually constructed	288
For what was Ptain tried  	289
what can accommodate up to 38 people	290
What is equal to SINAD	291
What is ProQuest	9
who started classes in July	292
who was dating Dave	293
how do Roman candles  come 	35
How many did have cancers	294
when did Miloevi resign 	84
When was Cannons demolished  	295
where were A few shells later found 	296
What will begin on 2 April 2009	297
who turns to Weaver	87
In what weather condition has Alexandra gone off	298
who was a mixture of Mark	299
What is part of the Binghamton Metropolitan Statistical Area	9
what is Laurel	32
what is located in Wesson	68
what is Spirit	300
Of where did Killer Frost break out 	301
what could do routing	302
who had Queen Catherine been born 	303
among whom are Tear stains common 	304
Who had always been fascinated by naval history	212
What  can be an indicator of chronic malnutrition	305
Where  was Holbrook born 	1
who  lived in Kyoto	51
what is Windows	306
what is cut from 100 to 80 hours	307
what was founded in 1754	308
Where do 82 % of the population is living 	309
what do Students have 	310
what moved to Zamboanga	33
What does Pacifica also produce	311
when are Drawings held 	312
where did Peterson travel to 	313
By what can Tetanus be prevented  	314
what is Stanley	60
What was also released in 1983	220
Where was The Removal Act strongly supported 	315
where was Wilkes born	1
what is portrayed in a sympathetic light	316
with whom is Erskine good friends 	317
To where did Medina return then	318
when was John Lilly born 	166
who is Mullen	319
where did Edward teach 	320
What  is also an Internet service provider	178
who are ALL for civil society	321
to whom The Phillies sent a player to be named later  	322
Where did Ogunleye play college football 	219
what is prevalent in autism	323
where was colour television  introduced	113
What is home to the National Arts Centre Orchestra	73
who was a member of The Flock	139
when did Illinois depart   	324
who testified to the Commission	325
Where is New Territory 	76
To what did Modibo Keta devote his entire life 	326
Who leaves the Southern Conference	327
what does Square Enix Swallow	328
where did The Jones family  settle down 	329
at what event don't Micronations compete	330
for how long has Jol been out 	331
who began his career at Crystal Palace	332
To whom does Lauren Graham say	333
with whom is Katelin roommates 	334
who/what appeared close to victory	335
Where was Mao unrecognizable 	336
to what does a mobile phone number  generally correspond	337
where is Oakley	197
What Tempo also made  	338
From what are Gay people not banned 	339
What is located in San Francisco	68
what becomes independent from the Portuguese Republic	340
What is M-U-M	341
of what did Warren assume command 	342
how care may be given 	343
where is Amberley located 	344
to whom was Wilson introduced 	345
What may be given on an outpatient basis	343
Where did Borden die 	18
What  was officially incorporated on February 26 , 1913	346
What was founded in 1908	308
in what is Folate also synthesized	347
what is also a major industry	178
what is Leesburg	348
what  began on May 12 , 2008	349
Who was introduced to industry	345
what is a borough in Centre County	350
who grew up in Wilkes-Barre	194
what is Enfield	197
of what is McEwen a member  	139
What is is based in Cardiff	232
Of What is UIC a major part 	351
What is is not another word for South Asia	352
What has a long-standing history with industry	353
who grew up in Minneapolis	194
Where was Jet Set Willy stored 	354
what provides connections to Zwickau	355
where were professionals allowed to compete	356
what is also popular in chocolates	357
what was Amol	358
who is from Christchurch	359
what was held in Helsinki	200
who  attend the University of Connecticut	360
To what was Holland close	361
when was A third division  re-introduced 	362
Who then opened fire on the Leopard	363
who is  taken to an asylum	364
Where was Buell raised	365
What was scored by Ilayaraja	366
What opened around January 1878	367
What  premiered on CBS	368
to whom may Saranyu be related 	369
what is Rusholme	370
who was the subject of a play	371
who traveled back to 1968	372
what is Federal Hocking High School	152
When are Dragons released 	373
what happened to rose 	374
What does Jelly Belly make  	375
where  was Royce born	1
What is divided into 3 communities	376
what  may Peace officers  get	377
What is rich in natural water bodies	378
How mamy were only published in 1968	379
how much is Speed limit inside	380
Where is Oak Grove High School located 	68
who was a member of a musical family	139
how are Transactions cleared 	381
to whom does TokaiTokai often talk	382
what is a play by James Joyce	128
for what did Martin Allen play	221
what was released on September 16 , 1994	228
What have been simplified to dirt roads	383
what holds two types of hearings	384
WHAT was a relative latecomer to public broadcasting	385
What is Harlem	134
with whom has Walter a run-in	386
what does Churchill still lead 	387
who spent a month in Miami	388
what  started at $ 100	389
who descend on Palanga	390
when did Boylan retire 	391
Where did  Jim appear	392
where did Yvette Cooper rise rapidly	393
where was Uehara born	1
what was Wikipedia designed to be	394
when did Almagro seize the city	395
where did Church go to	85
who walk to Mount Moriah	396
when did Donahey retire 	391
when was 40th Army disbanded 	397
when was The National Park created 	398
what was the inspiration for Starbucks	399
Where is AUR headquartered 	101
who  is different from Trumps	400
Who joined the faculty of the University of Arizona	401
since when has Grand Buffet been together  	402
Where is Minden City 	197
What is Bellefeuille	403
Who enlisted in the United States Coast Guard	404
What was born on April 22 , 1834	166
Who has not forgotten Palm Island	405
What is Herne Bay	406
What did Aix become 	407
Who retired in 1954	391
What will be a common year starting on Sunday of the Gregorian calendar	272
What company  eventually bought out Ice Online	408
who  is a physician in Baltimore	409
who  received Academy Awards for Best Supporting Actress	410
Where did Levi attend	411
where was Wensley posted to 	412
what does The Performing Arts Center  offer	413
what  has a number of educational institutions	414
what  follows the life of Paul Bear Bryant	415
When did Park turn professional 	416
Where is Bangor	417
who  held her in great esteem	418
Where did Fleming remain 	17
what did Moisil do	419
how did The King  hld her	418
what is a civil parish in the East Riding of Yorkshire	420
by whom did Floyd have three children 	421
what  is run by a Governor	422
Where does Ford currently reside	423
when did Dixon die	424
what is The Georgia Department of Natural Resources	425
who starts shooting at Jade	426
Who was born around 1900	427
Where was Minuet created 	428
what is McFarland	134
What was further detailed in Unearthed Arcana	429
Whom did Burdett marry firstly 	430
Who  is a graduate of Siena College	431
what  were suspended in 1999	432
what was founded on March 26 , 1946	433
what is the county seat of Napa County	434
What was registered on the National Register of Historic Places	435
what is Praslin	436
by whom was Diner Dash originally created  	437
What provides news in Persian	438
By what is Hiawatha operated	439
When did Athens High School open 	440
what does Desiderius Erasmus publish	441
who added in 1712	442
where was a Communist government installed 	443
who was born at Nancy	444
ho lived mainly in France	445
what was once divided into Farthings	446
who  is currently the Secretary of the Florida Department of Transportation	447
What  is the seat of the University of Cape Coast	448
who is Frideswide	449
Where are Courses offered	15
what does Wikipedia have 	450
Where is Otterville	348
for what has Syriana also been criticized  	451
